coassembly_name	assembly_samples	read_mapping_samples
CA-L227-2013	L227-2013-6m,L227-2013-8m	L227-2013-6m,L227-2013-8m,L227-2014-6m,L227-2014-8m
CA-L227-2014	L227-2014-6m,L227-2014-8m	L227-2013-6m,L227-2013-8m,L227-2014-6m,L227-2014-8m
